user_site_id,lat,long,elevation,precip,temp,pedon_key,pedon_key_1,layer_key,layer_sequence,hzn_bot,calc_depth,Bulk_Density,soil_C,Total_C_kg
S1981CA071004,34.2738876,-114.3572235,610.6,161.0642185,20.74443295,81P0380,81P0380,81P02065,1,12,12,1.5,0.287898113,2.255725755
S1989CA071001,35.7224998,-117.5891647,659.2,114.1239191,18.22534665,89P0320,89P0320,89P01763,1,10,10,1.25,0.849963915,5.789503915
S1989CA071002,35.7172203,-117.6286087,657.2,113.7251048,18.21337728,89P0326,89P0326,89P01805,1,8,8,1.52,0.486396513,1.797872632
94CA071001,35.2258889,-116.4317778,414,108.6131744,20.66665462,95P0657,95P0657,95P04735,1,5,5,1.5,1.125,4.030492868
94CA071002,35.232,-116.4368333,419.9,109.0290356,20.62312384,95P0658,95P0658,95P04742,1,5,5,1.5,0.0675,0.975
94CA071003,35.3869167,-116.90175,925.7,151.2437953,16.89060375,95P0659,95P0659,95P04748,1,2,2,1.5,0.026969434,1.201401
94CA071004,35.3681944,-116.8651111,964.6,155.6131864,16.65251116,95P0660,95P0660,95P04755,1,3,3,1.5,0.161804377,1.906007802
94CA071005,35.28175,-116.7960556,966,157.8743083,16.69284207,95P0661,95P0661,95P04760,1,5,5,1.5,0.577127349,3.965263358
94CA071006,35.3339444,-116.8868889,935.3,153.2588233,16.83825897,95P0662,95P0662,95P04765,1,5,5,1.5,0.104947698,1.244815245
94CA071007,35.5152222,-116.3441389,1598.1,217.8508739,12.70121707,95P0663,95P0663,95P04770,1,5,5,1.5,0.262271179,2.796989717
94CA071008,35.4998889,-116.3555833,1397.3,198.7304189,14.05241065,95P0664,95P0664,95P04774,1,6,6,1.5,0.431881811,2.471576575
94CA071009,35.5141389,-116.3439167,1597.8,217.8437107,12.70344943,95P0665,95P0665,95P04779,1,5,5,1.5,0.472093472,6.817688802
94CA071010,35.2500556,-116.3802778,550.5,121.6941394,19.77597068,95P0666,95P0666,95P04784,1,4,4,1.5,0.065991594,0.592481151
94CA071011,35.5259444,-116.8660278,1228.7,178.1002984,14.85750497,95P0667,95P0667,95P04790,1,6,6,1.5,0.359803019,2.458055264
94CA071012,35.5125556,-116.8609722,1188.8,174.5481902,15.13134275,95P0668,95P0668,95P04796,1,5,5,1.5,0.277261245,1.528071142
94CA071013,35.2115,-116.4131389,403.4,108.0025344,20.75129197,95P0669,95P0669,95P04802,1,4,4,1.5,0.023990151,0.523451774
94CA071014,35.5110833,-116.8635556,1190.3,174.699736,15.11959057,95P0670,95P0670,95P04808,1,8,8,1.5,0.383820679,2.924519858
S1997CA071001,34.2638893,-116.0902786,567.1,143.7154562,19.90648474,97P0415,97P0415,97P02485,1,3,3,1.5,0.027,0.34013
97CA071002,34.3213889,-116.1372222,555,141.1293243,19.95452297,97P0416,97P0416,97P02494,1,1,1,1.39,0.08201,3.63055
97CA071003,34.3155556,-116.1397222,555.4,141.2561454,19.95049912,97P0417,97P0417,97P02503,1,1,1,1.5,0.024,5.34875
S1997CA071004,34.263195,-116.2636108,819.6,166.6813836,18.08579055,97P0418,97P0418,97P02512,1,6,6,1.5,0.081,1.964166959
S1997CA071005,34.2883339,-116.2324982,724.1,157.2710812,18.7505552,97P0419,97P0419,97P02519,1,3,3,1.5,0.022495755,1.167606889
S1997CA071006,34.3010292,-116.1911087,638.1,149.0832855,19.35846739,97P0420,97P0420,97P02525,1,3,3,1.5,0.044981321,1.003468984
S1997CA071007,34.2788887,-116.2086105,725.1,157.7254937,18.75991477,97P0421,97P0421,97P02535,1,3,3,1.5,0.0585,0.662562483
S1997CA071008,34.3044434,-116.1661148,600,145.5479479,19.6322569,97P0422,97P0422,97P02543,1,3,3,1.5,0.067445236,0.673146904
S1997CA071009,34.3269463,-116.3128052,773,160.6440083,18.36531542,97P0423,97P0423,97P02550,1,8,8,1.5,0.179985991,1.006264779
S1997CA071010,34.3563881,-116.2172241,666,150.5447084,19.14974638,97P0424,97P0424,97P02556,1,5,5,1.5,0.044981151,0.143976713
S1997CA071011,34.3222771,-116.3453064,809.8,164.0196222,18.09547808,97P0425,97P0425,97P02563,1,3,3,1.5,0.094478604,0.657340783
S1997CA071012,34.3469429,-116.3028641,738.1,156.9946584,18.60673298,97P0426,97P0426,97P02633,1,1,1,1.5,0.004496434,1.115854304
S1975CA071001,34.4336395,-116.8767471,927.4,169.1840564,16.94690978,75C0016,75C0016,75C00050,1,6,6,1.53,0.11015046,1.577136875
S1979CA071101,34.2833328,-116.9166641,2296.7,303.3634175,7.669485565,79P0440,79P0440,79P02387,1,15,15,1.6,2.375818288,5.069103491
S1979CA071103,34.3166656,-117.4333344,1181.7,191.5159924,14.86984345,79P0442,79P0442,79P02392,1,4,4,1.88,1.24761152,4.700604038
S1979CA071105,34.1500015,-116.8833313,2286.5,305.0984455,7.767442179,79P0444,79P0444,79P02399,1,15,15,1.5,4.094381887,9.449068175
S1979CA071106,34.25,-117,2313.2,304.9235289,7.505244645,79P0452,79P0452,79P02426,1,20,20,1.4,5.459740392,18.3591725
S1981CA071001,34.1577797,-114.3533325,159.5,119.8441786,23.80366232,81P0377,81P0377,81P02041,1,2,2,1.37,0.05469376,1.826344104
