lat,long,temp,pedon_key
34.2738876,-114.3572235,20.74443295,81P0380
35.7224998,-117.5891647,18.22534665,89P0320
35.7172203,-117.6286087,18.21337728,89P0326
35.2258889,-116.4317778,20.66665462,95P0657
35.232,-116.4368333,20.62312384,95P0658
35.3869167,-116.90175,16.89060375,95P0659
35.3681944,-116.8651111,16.65251116,95P0660
35.28175,-116.7960556,16.69284207,95P0661
35.3339444,-116.8868889,16.83825897,95P0662
35.5152222,-116.3441389,12.70121707,95P0663
35.4998889,-116.3555833,14.05241065,95P0664
35.5141389,-116.3439167,12.70344943,95P0665
35.2500556,-116.3802778,19.77597068,95P0666
35.5259444,-116.8660278,14.85750497,95P0667
35.5125556,-116.8609722,15.13134275,95P0668
35.2115,-116.4131389,20.75129197,95P0669
35.5110833,-116.8635556,15.11959057,95P0670
34.2638893,-116.0902786,19.90648474,97P0415
34.3213889,-116.1372222,19.95452297,97P0416
34.3155556,-116.1397222,19.95049912,97P0417
34.263195,-116.2636108,18.08579055,97P0418
34.2883339,-116.2324982,18.7505552,97P0419
34.3010292,-116.1911087,19.35846739,97P0420
34.2788887,-116.2086105,18.75991477,97P0421
34.3044434,-116.1661148,19.6322569,97P0422
34.3269463,-116.3128052,18.36531542,97P0423
34.3563881,-116.2172241,19.14974638,97P0424
34.3222771,-116.3453064,18.09547808,97P0425
34.3469429,-116.3028641,18.60673298,97P0426
34.4336395,-116.8767471,16.94690978,75C0016
34.2833328,-116.9166641,7.669485565,79P0440
34.3166656,-117.4333344,14.86984345,79P0442
34.1500015,-116.8833313,7.767442179,79P0444
34.25,-117,7.505244645,79P0452
34.1577797,-114.3533325,23.80366232,81P0377
35.6586113,-117.6358337,18.05493674,84P0663
35.7063713,-117.8286819,17.76876331,85P0624
35.6074867,-117.7736816,17.3576573,85P0623
35.637207,-117.8036804,17.46222362,85P0625
35.2772026,-119.4323273,19.18839195,86P0594
35.7180405,-117.6383972,18.20558327,87P0697
35.7333183,-117.5508957,17.84336654,87P0698
35.7377625,-117.5825653,18.22748334,87P0699
34.8655548,-117.8847198,17.83162704,88P0948
34.8713875,-117.8855591,17.83076364,88P0949
34.8688889,-117.8838882,17.83199055,88P0950
34.8658333,-117.8944473,17.82525457,88P0951
34.8602791,-117.8830566,17.84652318,88P0952
35.7466667,-117.6444444,18.18723763,89P0327
35.7091675,-117.7377777,17.97611474,89P0321
35.1955566,-118.9852753,21.16672516,90P0575
35.209446,-118.9574966,21.13882361,90P0576
35.2547226,-119.0619431,21.039717,90P0577
35.2658348,-119.2158356,20.99196149,90P0578
35.2733333,-119.2061111,20.98574025,90P0579
35.2216682,-119.2430573,21.01915665,90P0580
35.1952782,-119.2430573,21.0368105,90P0581
35.1805573,-119.2755585,21.01027798,90P0582
35.0466652,-119.2825012,20.06491113,90P0584
35.06,-119.2991667,20.25007887,90P0585
35.0847222,-119.2111111,20.68903253,90P0586
35.0588889,-119.0855556,20.7258252,90P0587
34.9825,-118.9172222,19.5808461,90P0588
35.1594429,-119.055275,21.16552793,90P0589
35.1872215,-119.089447,21.10856048,90P0590
35.1944427,-119.3036118,20.98578435,90P0591
35.1488889,-119.3094444,20.97090722,90P0583
34.9555556,-118.9766667,18.59201209,93P0294
35.0180448,-119.0584281,19.59416042,93P0295
34.932211,-119.3926024,13.62848488,93P0296
35.0713889,-119.4308333,19.04562498,93P0297
35.2305352,-119.6381678,17.34420014,93P0298
34.9039137,-114.4580267,22.50684572,93P0299
35.2680556,-118.7986111,20.69514437,93P0472
35.3625,-118.3141667,11.85540031,93P0474
35.3138889,-118.3252778,14.46096353,93P0475
35.375,-118.1591667,11.65443303,93P0476
35.6897222,-118.4041667,15.21477872,93P0477
35.0708351,-118.1055527,16.81133684,74C0001
35.0694427,-118.105835,16.8146086,74C0002
34.9174995,-118.1547241,17.03091671,74C0003
34.9527779,-118.2649994,16.3544315,74C0004
35.2599983,-117.8430557,16.24304179,74C0005
35.1569443,-117.8194427,17.11269066,74C0006
35.0708351,-118.0194473,17.28619008,74C0007
35.086113,-117.8888855,17.64929607,74C0008
35.1319427,-118.4919434,13.87633646,74C0009
35.1555557,-118.5180588,13.00257844,74C0010
35.1847229,-118.4347229,11.1336573,74C0011
35.0708351,-118.1005554,16.84165156,74C0076
35.5141678,-119.7236099,20.29844627,78P0366
34.8227768,-119.191391,5.487636363,79P0456
36.7877769,-118.1050034,14.55240786,86P0808
36.7916679,-118.1186142,14.56291276,86P0809
36.7594452,-118.1388855,14.51556434,86P0810
36.7930565,-118.1474991,14.48039552,86P0811
36.8008347,-118.1541672,14.45938845,86P0812
36.7727776,-118.1616669,14.31467209,86P0813
36.8086128,-118.2149963,13.91069775,86P0814
36.9269447,-118.2163925,14.35172973,86P0815
